Month,Time,Azimuth,Altitude
January,0:00,-11.69,-56.69
January,0:30,1.11,-57.09
January,1:00,13.85,-56.52
January,1:30,26.01,-55.02
January,2:00,37.22,-52.72
January,2:30,47.35,-49.76
January,3:00,56.44,-46.3
January,3:30,64.64,-42.48
January,4:00,72.1,-38.4
January,4:30,78.99,-34.14
January,5:00,85.44,-29.79
January,5:30,91.59,-25.4
January,6:00,97.52,-21.02
January,6:30,103.33,-16.7
January,7:00,109.09,-12.48
January,7:30,114.87,-8.39
January,8:00,120.72,-4.48
January,8:30,126.69,-0.53
January,9:00,132.81,2.74
January,9:30,139.11,5.68
January,10:00,145.61,8.32
January,10:30,152.31,10.56
January,11:00,159.2,12.36
January,11:30,166.25,13.65
January,12:00,173.41,14.43
January,12:30,-179.38,14.65
January,13:00,-172.17,14.33
January,13:30,-165.03,13.47
January,14:00,-158,12.08
January,14:30,-151.15,10.21
January,15:00,-144.48,7.89
January,15:30,-138.01,5.19
January,16:00,-131.74,2.21
January,16:30,-125.65,-1.29
January,17:00,-119.71,-5.14
January,17:30,-113.87,-9.08
January,18:00,-108.1,-13.2
January,18:30,-102.33,-17.44
January,19:00,-96.51,-21.77
January,19:30,-90.55,-26.16
January,20:00,-84.36,-30.55
January,20:30,-77.84,-34.88
January,21:00,-70.86,-39.11
January,21:30,-63.29,-43.16
January,22:00,-54.95,-46.93
January,22:30,-45.68,-50.31
January,23:00,-35.36,-53.16
January,23:30,-23.98,-55.34
February,0:00,-12.12,-48.6
February,0:30,-1.05,-49.1
February,1:00,10.06,-48.76
February,1:30,20.88,-47.58
February,2:00,31.14,-45.66
February,2:30,40.7,-43.08
February,3:00,49.53,-39.97
February,3:30,57.66,-36.43
February,4:00,65.19,-32.57
February,4:30,72.21,-28.48
February,5:00,78.84,-24.23
February,5:30,85.17,-19.88
February,6:00,91.3,-15.48
February,6:30,97.3,-11.1
February,7:00,103.26,-6.76
February,7:30,109.24,-2.46
February,8:00,115.31,1.79
February,8:30,121.51,5.49
February,9:00,127.91,9.04
February,9:30,134.53,12.32
February,10:00,141.41,15.24
February,10:30,148.55,17.76
February,11:00,155.96,19.8
February,11:30,163.58,21.31
February,12:00,171.37,22.26
February,12:30,179.26,22.62
February,13:00,-172.85,22.38
February,13:30,-165.03,21.53
February,14:00,-157.37,20.12
February,14:30,-149.92,18.18
February,15:00,-142.73,15.75
February,15:30,-135.8,12.9
February,16:00,-129.13,9.68
February,16:30,-122.7,6.17
February,17:00,-116.46,2.48
February,17:30,-110.37,-1.63
February,18:00,-104.38,-5.95
February,18:30,-98.42,-10.28
February,19:00,-92.43,-14.66
February,19:30,-86.33,-19.05
February,20:00,-80.05,-23.42
February,20:30,-73.48,-27.69
February,21:00,-66.54,-31.82
February,21:30,-59.12,-35.73
February,22:00,-51.11,-39.33
February,22:30,-42.41,-42.53
February,23:00,-32.99,-45.22
February,23:30,-22.85,-47.28
March,0:00,-8.47,-37.18
March,0:30,0.96,-37.47
March,1:00,10.37,-37.04
March,1:30,19.59,-35.9
March,2:00,28.48,-34.11
March,2:30,36.96,-31.73
March,3:00,44.98,-28.85
March,3:30,52.55,-25.55
March,4:00,59.71,-21.9
March,4:30,66.51,-17.98
March,5:00,73.03,-13.86
March,5:30,79.33,-9.58
March,6:00,85.49,-5.2
March,6:30,91.57,-0.5
March,7:00,97.66,3.71
March,7:30,103.83,7.92
March,8:00,110.13,12.09
March,8:30,116.65,16.1
March,9:00,123.45,19.89
March,9:30,130.58,23.39
March,10:00,138.08,26.52
March,10:30,145.99,29.22
March,11:00,154.3,31.4
March,11:30,162.96,33
March,12:00,171.87,33.96
March,12:30,-179.08,34.24
March,13:00,-170.05,33.82
March,13:30,-161.17,32.73
March,14:00,-152.58,31.01
March,14:30,-144.35,28.71
March,15:00,-136.53,25.92
March,15:30,-129.1,22.7
March,16:00,-122.04,19.14
March,16:30,-115.31,15.3
March,17:00,-108.84,11.25
March,17:30,-102.57,7.07
March,18:00,-96.42,2.86
March,18:30,-90.34,-1.58
March,19:00,-84.24,-6.1
March,19:30,-78.06,-10.46
March,20:00,-71.72,-14.71
March,20:30,-65.15,-18.8
March,21:00,-58.28,-22.67
March,21:30,-51.04,-26.25
March,22:00,-43.38,-29.48
March,22:30,-35.27,-32.26
March,23:00,-26.7,-34.52
March,23:30,-17.74,-36.19
April,0:00,-4.92,-25.86
April,0:30,3.3,-25.92
April,1:00,11.47,-25.35
April,1:30,19.51,-24.18
April,2:00,27.33,-22.43
April,2:30,34.88,-20.16
April,3:00,42.13,-17.43
April,3:30,49.08,-14.28
April,4:00,55.76,-10.8
April,4:30,62.2,-7.02
April,5:00,68.45,-2.97
April,5:30,74.55,1.44
April,6:00,80.58,5.53
April,6:30,86.6,9.83
April,7:00,92.68,14.19
April,7:30,98.89,18.55
April,8:00,105.32,22.83
April,8:30,112.05,26.98
April,9:00,119.18,30.94
April,9:30,126.8,34.62
April,10:00,135,37.93
April,10:30,143.81,40.79
April,11:00,153.26,43.08
April,11:30,163.26,44.71
April,12:00,173.67,45.59
April,12:30,-175.76,45.67
April,13:00,-165.3,44.94
April,13:30,-155.2,43.46
April,14:00,-145.63,41.29
April,14:30,-136.69,38.54
April,15:00,-128.38,35.3
April,15:30,-120.65,31.69
April,16:00,-113.43,27.78
April,16:30,-106.62,23.66
April,17:00,-100.14,19.4
April,17:30,-93.89,15.06
April,18:00,-87.8,10.69
April,18:30,-81.77,6.37
April,19:00,-75.75,2.22
April,19:30,-69.66,-2.12
April,20:00,-63.45,-6.24
April,20:30,-57.06,-10.07
April,21:00,-50.43,-13.62
April,21:30,-43.53,-16.83
April,22:00,-36.33,-19.66
April,22:30,-28.84,-22.02
April,23:00,-21.07,-23.88
April,23:30,-13.07,-25.17
May ,0:00,-3.49,-16.83
May ,0:30,3.92,-16.82
